date,equity,cash,market_value,benchmark,daily_return
2026-03-20,1443796.9474068703,50860.947406870284,1392936.0,4567.0179,-0.04104875276227571
2026-03-23,1377634.9474068703,50860.947406870284,1326774.0,4417.9971,-0.045825003383495266
2026-03-24,1433225.9474068703,50860.947406870284,1382365.0,4474.7224,0.04035248968142047
2026-03-25,1491289.9474068703,50860.947406870284,1440429.0,4537.4656,0.04051280267780166
2026-03-26,1484412.9474068703,50860.947406870284,1433552.0,4477.5343,-0.004611443946201166
2026-03-27,1503930.9474068703,50860.947406870284,1453070.0,4502.5698,0.013148632281937411
2026-03-30,1507104.9474068703,50860.947406870284,1456244.0,4491.95,0.0021104692376154865
2026-03-31,1463111.9474068703,50860.947406870284,1412251.0,4450.0493,-0.029190402483711853
2026-04-01,1501607.9346904955,48811.93469049537,1452796.0,4526.0668,0.026311033377762527
2026-04-02,1450107.9346904955,48811.93469049537,1401296.0,4478.9141,-0.034296568904728764
2026-04-03,1466078.9346904955,48811.93469049537,1417267.0,4440.7889,0.011013662926690149
2026-04-07,1498724.9346904955,48811.93469049537,1449913.0,4440.6162,0.022267559561444772
2026-04-08,1600687.9346904955,48811.93469049537,1551876.0,4595.556,0.0680331644852874
2026-04-09,1585348.9346904955,48811.93469049537,1536537.0,4566.2237,-0.009582754806586324
2026-04-10,1581114.9346904955,48811.93469049537,1532303.0,4636.5655,-0.0026707054247503415
2026-04-13,1589654.9346904955,48811.93469049537,1540843.0,4646.1546,0.005401251871466117
2026-04-14,1607514.9346904955,48811.93469049537,1558703.0,4701.2837,0.011235142677978205
2026-04-15,1594405.9346904955,48811.93469049537,1545594.0,4685.2464,-0.008154823147894397
2026-04-16,1640699.9346904955,48811.93469049537,1591888.0,4736.6077,0.02903526573299331
2026-04-17,1635088.9346904955,48811.93469049537,1586277.0,4728.6716,-0.003419881893917731
2026-04-20,1626178.9346904955,48811.93469049537,1577367.0,4757.4419,-0.005449244876509773
2026-04-21,1600508.9346904955,48811.93469049537,1551697.0,4767.997,-0.015785470745189323
2026-04-22,1636504.9346904955,48811.93469049537,1587693.0,4799.627,0.022490346176643472
2026-04-23,1598784.9346904955,48811.93469049537,1549973.0,4786.3273,-0.023049120843093407
2026-04-24,1565317.9346904955,48811.93469049537,1516506.0,4769.3688,-0.020932771677936057
2026-04-27,1579608.9346904955,48811.93469049537,1530797.0,4770.9469,0.009129774650429523
2026-04-28,1549888.9346904955,48811.93469049537,1501077.0,4758.2083,-0.01881478342348275
2026-04-29,1559765.9346904955,48811.93469049537,1510954.0,4810.3468,0.006372714701632809
2026-04-30,1556738.9346904955,48811.93469049537,1507927.0,4807.3069,-0.001940675798000835
2026-05-06,1605745.7612392707,63417.76123927071,1542328.0,4877.0932,0.03148043994834526
2026-05-07,1644907.7612392707,63417.76123927071,1581490.0,4900.5098,0.024388667836043876
2026-05-08,1615965.7612392707,63417.76123927071,1552548.0,4871.9122,-0.01759490755773152
2026-05-11,1660200.7612392707,63417.76123927071,1596783.0,4951.8366,0.027373723541070927
2026-05-12,1647338.7612392707,63417.76123927071,1583921.0,4948.0465,-0.007747255814049336
2026-05-13,1698365.7612392707,63417.76123927071,1634948.0,4998.3417,0.030975413922521344
2026-05-14,1657081.7612392707,63417.76123927071,1593664.0,4914.5971,-0.024308073644793482
2026-05-15,1656580.7612392707,63417.76123927071,1593163.0,4859.5927,-0.00030233873289708946
2026-05-18,1694116.7612392707,63417.76123927071,1630699.0,4833.5237,0.022658720225580575
2026-05-19,1714444.7612392707,63417.76123927071,1651027.0,4852.8832,0.011999172940789338
2026-05-20,1734623.7612392707,63417.76123927071,1671206.0,4850.7,0.011769991344261044
2026-05-21,1650125.7612392707,63417.76123927071,1586708.0,4783.0976,-0.048712580726803845
2026-05-22,1694077.7612392707,63417.76123927071,1630660.0,4845.0956,0.026635545624711154
